duree,montant,age,taux_endettement_num,revenus_estimes,debt_to_income_ratio,credit_utilization_ratio,savings_rate,expense_to_income_ratio,repayment_capacity,payment_history_score,credit_mix_diversity,recent_inquiries_count,account_age_average,bankruptcy_risk_score,late_payment_frequency,credit_limit_usage,employment_stability_score,education_employment_match,regional_risk_factor,age_income_interaction,debt_income_interaction,score_utilization_interaction,amount_duration_interaction,employment_stability_payment,account_age_months,time_since_last_payment,credit_history_length,application_month,seasonal_risk_indicator,holiday_proximity,income_trend,spending_trend,credit_usage_trend,historique_compte critique /autres credits existants (pas dans cette banque),historique_credits deja rembourses jusqu'a maintenant,historique_retard dans le paiement dans le passe,historique_tous les credits de cette banque ont ete rembourses,objet_business,objet_education,objet_mobilier / equipement,objet_radio / television,objet_rare_category,objet_reparations,objet_vacances,objet_voiture (nouveau),objet_voiture (utilise),epargne_comprise entre 500 et 1000,epargne_compte d'epargne inconnu / non,epargne_inferieur a 100,epargne_superieur a 1000,anciennete_emploi_compris entre 4 et 7 ans,anciennete_emploi_inferieur a 1 an,anciennete_emploi_sans emploi,anciennete_emploi_superieur a 7 ans,taux_endettement_compris entre 25% et 35%,taux_endettement_inferieur a 20%,taux_endettement_superieur a 35%,statut_femme:divorcee/separee/mariee,statut_homme: marie/veuf,statut_homme:divorce/separe,autres_debiteurs_co-demandeur,autres_debiteurs_garant,domicile_compris entre 4 et 7 ans,domicile_inferieur a 1 an,domicile_superieur a 7 ans,biens_immobilier,biens_inconnu / pas de propriete,biens_voiture ou autre,credit_exterieur_banque,credit_exterieur_etablissements de credit,logement_logement gratuit,logement_proprietaire,emploi_employe qualifie / fonctionnaire,emploi_non qualifie,emploi_sans emploi,nombre_personnes_2 personne,telephone_sans telephone,compte_inferieur a 0,compte_pas de compte courant,compte_superieur ou egale a 200,nombre_credit_2 credits,nombre_credit_3 credits,nombre_credit_rare_category,travailleur_etranger_oui,age_income_segment_mature,age_income_segment_senior,age_income_segment_young,age_income_segment_young_adult,age_income_combined_encoded,education_employment_encoded,marital_housing_celibataire_logement gratuit,marital_housing_celibataire_proprietaire,marital_housing_femme:divorcee/separee/mariee_locataire,marital_housing_femme:divorcee/separee/mariee_logement gratuit,marital_housing_femme:divorcee/separee/mariee_proprietaire,marital_housing_homme: marie/veuf_locataire,marital_housing_homme: marie/veuf_proprietaire,marital_housing_homme:divorce/separe_proprietaire,marital_housing_rare_category,purpose_amount_encoded,age_category_income_middle_income_low,age_category_income_middle_income_med,age_category_income_rare_category,age_category_income_senior_income_low,age_category_income_senior_income_med,age_category_income_young_income_high,age_category_income_young_income_low,age_category_income_young_income_med,cible
-1.0,-0.441967717140661,2.1,0.5714285714285714,-0.40244158878504677,0.5714285714285716,0.5714285714285716,0.0,0.5714285714285714,-0.37750586184460894,0.0,0.0,0.0,0.0,0.5714285714285718,0.0,0.5714285714285716,0.0,0.0,0.0,-0.18032646817306242,-0.22874459628204505,0.5714285714285716,-0.4096188815081456,0.0,0.0,-0.19870261922249224,0.07170614000363718,0.14285714285714285,0.6666666666666665,1.0,0.36387580328912517,1.0008646674878363,-0.515638943091474,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9047741618635895,0.4593477310992487,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46269608534233825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,credit bien rembourse
2.0,1.3958493466564181,-0.7333333333333333,-0.42857142857142855,1.5764135514018691,-0.42857142857142844,-0.42857142857142844,0.0,-0.4285714285714286,1.693468493352484,0.0,0.0,0.0,0.0,-0.4285714285714281,0.0,-0.42857142857142844,0.0,0.0,0.0,0.7857229224384404,2.297165184749974,-0.42857142857142844,2.5953909526106806,0.0,0.0,2.1224031029838435,-1.0888249201449474,-0.2857142857142857,-0.3333333333333335,0.0,-0.12625287376670444,0.6453008387361583,-0.11021946712059406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.1804123005355724,-0.8812202650942584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7214889354627555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,credit avec impaye
-0.5,-0.08570330514988471,1.0666666666666667,-0.42857142857142855,0.13529205607476624,-0.42857142857142827,-0.42857142857142844,0.0,-0.4285714285714284,0.22641144624903314,0.0,0.0,0.0,0.0,-0.4285714285714281,0.0,-0.42857142857142844,0.0,0.0,0.0,0.4777326126236746,0.035508153584245236,-0.42857142857142844,-0.18525253274947115,0.0,0.0,0.5754802442231103,0.2270246059001414,0.7142857142857143,-0.6666666666666667,0.0,0.4804102701609041,-0.002581604970517956,-0.6052105749100268,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.078453655903562,0.3641690821945797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1926485394601125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,credit bien rembourse
2.0,2.1335511145272865,0.8,-0.42857142857142855,2.293983644859813,-0.42857142857142844,-0.42857142857142844,0.0,-0.4285714285714286,2.4239525405418676,0.0,0.0,0.0,0.0,-0.4285714285714281,0.0,-0.42857142857142844,0.0,0.0,0.0,3.22242965790167,4.231410964003267,-0.42857142857142844,3.5926448213159166,0.0,0.0,0.20660032374061962,0.40373596850906396,0.2857142857142857,0.33333333333333326,1.0,1.1560708055513327,-0.5317962835396676,-0.23508843714234998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4103849320718196,0.09109724739826736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2688732681375847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,credit bien rembourse
0.5,0.9803996925441968,1.3333333333333333,0.0,0.717161214953271,0.0,0.0,0.0,-1.9825411154020654e-16,0.6842368553505445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4696419389579725,1.012056031301073,0.0,0.9494192303410398,0.0,0.0,-0.4724309687611472,0.36477512710951515,-0.14285714285714285,0.0,0.0,-0.20026795956160515,0.4757207907307943,-1.44651410218719,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0920659510643567,0.19779803689154832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05964592916278579,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,credit avec impaye
1.5,2.1335511145272865,0.13333333333333333,-0.42857142857142855,2.293983644859813,-0.42857142857142844,-0.42857142857142844,0.0,-0.4285714285714286,2.4239525405418676,0.0,0.0,0.0,0.0,-0.4285714285714281,0.0,-0.42857142857142844,0.0,0.0,0.0,2.363390132280749,4.231410964003267,-0.42857142857142844,3.008498163060824,0.0,0.0,-0.47245707567161915,0.7643833710818695,0.14285714285714285,0.6666666666666665,1.0,-0.20025528697110384,0.2474738572895933,0.16314618132200318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23287189550428636,0.19779803689154832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5637648714255503,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,credit bien rembourse
0.5,0.19830899308224442,1.3333333333333333,0.0,0.14660046728971957,0.0,0.0,0.0,-1.9825411154020654e-16,0.15961710799297804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5867402042920254,0.15468918965373946,0.0,0.3452703454930048,0.0,0.0,-0.5727221367421101,0.5750387243466528,0.5714285714285714,-0.3333333333333335,0.0,1.1994374414349234,0.6232501034946661,0.0011125552624820572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0920659510643567,0.21292061844364962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4606498592894885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,credit bien rembourse
1.5,1.7790161414296695,0.13333333333333333,-0.42857142857142855,1.9491238317757007,-0.42857142857142844,-0.42857142857142844,0.0,-0.4285714285714286,2.07288636000933,0.0,0.0,0.0,0.0,-0.4285714285714281,0.0,-0.42857142857142844,0.0,0.0,0.0,2.0109825510154478,3.2347694285231157,-0.42857142857142844,2.597691765317104,0.0,0.0,1.2099023410320167,0.2876052940254004,-0.42857142857142855,-0.6666666666666667,0.0,0.5728402444636803,0.42849557550204226,-0.6240572619924307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8708791981459847,0.03806999359499693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11542085857321513,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,credit bien rembourse
-0.5,0.0,1.8666666666666667,-0.42857142857142855,0.21865654205607465,-0.42857142857142844,-0.42857142857142844,0.0,-0.4285714285714286,0.3112762248493106,0.0,0.0,0.0,0.0,-0.4285714285714281,0.0,-0.42857142857142844,0.0,0.0,0.0,0.9007308568958148,0.10728823296383899,-0.42857142857142844,-0.15215051768285895,0.0,0.0,0.21220893566532828,-0.11841176801170583,0.14285714285714285,0.6666666666666665,1.0,-0.38190810049693075,0.7388644664881049,0.5038497300939562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9047741618635895,-1.6767724753488018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46269608534233825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,credit bien rembourse
1.0,1.120292083013067,-0.3333333333333333,0.5714285714285714,0.45234813084112147,0.5714285714285716,0.5714285714285716,0.0,0.5714285714285714,0.29617660418124453,0.0,0.0,0.0,0.0,0.5714285714285718,0.0,0.5714285714285716,0.0,0.0,0.0,0.2565085147258582,0.8386744354069526,0.5714285714285716,1.4459494563402235,0.0,0.0,0.49737876662425096,-1.3385782711287564,0.7142857142857143,-0.6666666666666667,0.0,0.3992634381731655,-0.44813246103993926,0.7164872844602064,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.15291269046824973,-2.1714010425327146,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1905953018681892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,credit avec impaye
