duree,historique,objet,montant,epargne,anciennete_emploi,taux_endettement,statut,autres_debiteurs,domicile,biens,age,credit_exterieur,logement,emploi,nombre_personnes,telephone,cible,compte,nombre_credit,travailleur_etranger
6,compte critique /autres credits existants (pas dans cette banque),appareils menagers,1169.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,immobilier,64.5,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,credit bien rembourse,inferieur a 0,2 credits,oui
42,credits deja rembourses jusqu'a maintenant,appareils menagers,5951.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,immobilier,22.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit avec impaye,compris entre 0 et 200,1 credit,oui
12,compte critique /autres credits existants (pas dans cette banque),vacances,2096.0,inferieur a 100,compris entre 4 et 7 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 4 et 7 ans,immobilier,49.0,aucun credit,proprietaire,non qualifie,2 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
42,credits deja rembourses jusqu'a maintenant,radio / television,7870.5,inferieur a 100,compris entre 4 et 7 ans,compris entre 20% et 25%,celibataire,garant,superieur a 7 ans,assurance-vie,45.0,aucun credit,logement gratuit,employe qualifie / fonctionnaire,2 personne,sans telephone,credit bien rembourse,inferieur a 0,1 credit,oui
24,retard dans le paiement dans le passe,voiture (nouveau),4870.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,53.0,aucun credit,logement gratuit,employe qualifie / fonctionnaire,2 personne,sans telephone,credit avec impaye,inferieur a 0,2 credits,oui
36,credits deja rembourses jusqu'a maintenant,vacances,7870.5,compte d'epargne inconnu / non,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,35.0,aucun credit,logement gratuit,non qualifie,2 personne,avec telephone,credit bien rembourse,pas de compte courant,1 credit,oui
24,credits deja rembourses jusqu'a maintenant,radio / television,2835.0,comprise entre 500 et 1000,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,assurance-vie,53.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
36,credits deja rembourses jusqu'a maintenant,voiture (utilise),6948.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,35.0,aucun credit,locataire,cadres,1 personne,avec telephone,credit bien rembourse,compris entre 0 et 200,1 credit,oui
12,credits deja rembourses jusqu'a maintenant,appareils menagers,2319.0,superieur a 1000,compris entre 4 et 7 ans,compris entre 20% et 25%,homme:divorce/separe,aucun,superieur a 7 ans,immobilier,61.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,credit bien rembourse,pas de compte courant,1 credit,oui
30,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),5234.0,inferieur a 100,sans emploi,superieur a 35%,homme: marie/veuf,aucun,compris entre 1 et 4 ans,voiture ou autre,28.0,aucun credit,proprietaire,cadres,1 personne,sans telephone,credit avec impaye,compris entre 0 et 200,2 credits,oui
