duree,historique,objet,montant,epargne,anciennete_emploi,taux_endettement,statut,autres_debiteurs,domicile,biens,age,credit_exterieur,logement,emploi,nombre_personnes,telephone,compte,nombre_credit,travailleur_etranger,taux_endettement_num,revenus_estimes,debt_to_income_ratio,credit_utilization_ratio,savings_rate,expense_to_income_ratio,repayment_capacity,payment_history_score,credit_mix_diversity,recent_inquiries_count,account_age_average,bankruptcy_risk_score,late_payment_frequency,credit_limit_usage,employment_stability_score,age_income_segment,age_income_combined,education_employment_match,regional_risk_factor,age_income_interaction,debt_income_interaction,score_utilization_interaction,amount_duration_interaction,education_employment,marital_housing,purpose_amount,age_category_income,employment_stability_payment,account_age_months,time_since_last_payment,credit_history_length,application_month,seasonal_risk_indicator,holiday_proximity,income_trend,spending_trend,credit_usage_trend,cible
6,compte critique /autres credits existants (pas dans cette banque),appareils menagers,1169.0,compte d'epargne inconnu / non,superieur a 7 ans,superieur a 35%,celibataire,aucun,superieur a 7 ans,immobilier,64.5,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,avec telephone,inferieur a 0,2 credits,oui,40.0,2922.5,0.4,0.4,0.0,0.04,1753.5,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,senior,senior_low,0.5,0.4,188.50125,341.64025,0.2,70.14,celibataire_superieur a 7 ans,celibataire_proprietaire,appareils menagers_low,senior_income_low,0.15,0.0,14.078042699305772,13.066206005599524,7,0.6,1,0.04967141530112327,0.2099033154879003,-0.13503565499487633,0
42,credits deja rembourses jusqu'a maintenant,appareils menagers,5951.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,femme:divorcee/separee/mariee,aucun,compris entre 1 et 4 ans,immobilier,22.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,compris entre 0 et 200,1 credit,oui,22.5,26448.888888888887,0.225,0.225,0.0,0.022500000000000003,20497.888888888887,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young,young_medium,0.5,0.4,581.8755555555555,15739.733777777776,0.1125,2499.42,femme:divorcee/separee/mariee_compris entre 1 et 4 ans,femme:divorcee/separee/mariee_proprietaire,appareils menagers_high,young_income_med,0.15,0.0,90.30364292752563,3.9879338477393915,4,0.3,0,-0.013826430117118467,0.13869505243691532,-0.028903734143103568,1
12,compte critique /autres credits existants (pas dans cette banque),vacances,2096.0,inferieur a 100,compris entre 4 et 7 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 4 et 7 ans,immobilier,49.0,aucun credit,proprietaire,non qualifie,2 personne,sans telephone,pas de compte courant,1 credit,oui,22.5,9315.555555555555,0.22500000000000003,0.225,0.0,0.022500000000000006,7219.555555555555,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,mature,mature_low,0.5,0.4,456.4622222222222,1952.5404444444443,0.1125,251.52,celibataire_compris entre 4 et 7 ans,celibataire_proprietaire,vacances_low,middle_income_low,0.15,0.0,39.50237080636348,14.28118710603578,11,0.2,0,0.06476885381006925,0.00894455548802612,-0.15848398419999227,0
42,credits deja rembourses jusqu'a maintenant,radio / television,7870.5,inferieur a 100,compris entre 4 et 7 ans,compris entre 20% et 25%,celibataire,garant,superieur a 7 ans,assurance-vie,45.0,aucun credit,logement gratuit,employe qualifie / fonctionnaire,2 personne,sans telephone,inferieur a 0,1 credit,oui,22.5,34980.0,0.225,0.225,0.0,0.022500000000000003,27109.5,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,adult,adult_medium,0.5,0.4,1574.1,27531.009,0.1125,3305.61,celibataire_compris entre 4 et 7 ans,celibataire_logement gratuit,radio / television_high,middle_income_med,0.15,0.0,27.3882766132786,15.663514471702939,8,0.5,1,0.15230298564080255,-0.09704051665583609,-0.06159230592780806,0
24,retard dans le paiement dans le passe,voiture (nouveau),4870.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,53.0,aucun credit,logement gratuit,employe qualifie / fonctionnaire,2 personne,sans telephone,inferieur a 0,2 credits,oui,30.0,16233.333333333334,0.3,0.3,0.0,0.03,11363.333333333334,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,mature,mature_low,0.5,0.4,860.3666666666668,7905.633333333334,0.15,1168.8,celibataire_compris entre 1 et 4 ans,celibataire_logement gratuit,voiture (nouveau)_medium,senior_income_low,0.15,0.0,5.088746113870388,15.35874268758624,5,0.4,0,-0.023415337472333597,0.10473349704203848,-0.37872293339075713,1
36,credits deja rembourses jusqu'a maintenant,vacances,7870.5,compte d'epargne inconnu / non,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,superieur a 7 ans,inconnu / pas de propriete,35.0,aucun credit,logement gratuit,non qualifie,2 personne,avec telephone,pas de compte courant,1 credit,oui,22.5,34980.0,0.225,0.225,0.0,0.022500000000000003,27109.5,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young_adult,young_adult_medium,0.5,0.4,1224.3,27531.009,0.1125,2833.38,celibataire_compris entre 1 et 4 ans,celibataire_logement gratuit,vacances_high,middle_income_med,0.15,0.0,5.087888757438155,18.48468435332773,7,0.6,1,-0.023413695694918055,0.05902280781326244,0.042658741474587716,0
24,credits deja rembourses jusqu'a maintenant,radio / television,2835.0,comprise entre 500 et 1000,superieur a 7 ans,compris entre 25% et 35%,celibataire,aucun,superieur a 7 ans,assurance-vie,53.0,aucun credit,proprietaire,employe qualifie / fonctionnaire,1 personne,sans telephone,pas de compte courant,1 credit,oui,30.0,9450.0,0.3,0.3,0.0,0.03,6615.0,0.5,0.5,0.0,0.0,0.52,0.3,0.3,0.3,mature,mature_low,0.5,0.4,500.85,2679.075,0.15,680.4,celibataire_superieur a 7 ans,celibataire_proprietaire,radio / television_medium,senior_income_low,0.15,0.0,1.7951630582604203,17.003532927293424,10,0.3,0,0.15792128155073915,0.13427898300415983,0.00024109507244484738,0
36,credits deja rembourses jusqu'a maintenant,voiture (utilise),6948.0,inferieur a 100,compris entre 1 et 4 ans,compris entre 20% et 25%,celibataire,aucun,compris entre 1 et 4 ans,voiture ou autre,35.0,aucun credit,locataire,cadres,1 personne,avec telephone,compris entre 0 et 200,1 credit,oui,22.5,30880.0,0.225,0.225,0.0,0.022500000000000003,23932.0,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,young_adult,young_adult_medium,0.5,0.4,1080.8,21455.424,0.1125,2501.28,celibataire_compris entre 1 et 4 ans,celibataire_locataire,voiture (utilise)_high,middle_income_med,0.15,0.0,60.33692593439818,14.75508047537062,3,0.2,0,0.07674347291529088,0.09527577025229543,-0.16341772621363815,0
12,credits deja rembourses jusqu'a maintenant,appareils menagers,2319.0,superieur a 1000,compris entre 4 et 7 ans,compris entre 20% et 25%,homme:divorce/separe,aucun,superieur a 7 ans,immobilier,61.0,aucun credit,proprietaire,non qualifie,1 personne,sans telephone,pas de compte courant,1 credit,oui,22.5,10306.666666666666,0.225,0.225,0.0,0.022500000000000003,7987.666666666666,0.5,0.5,0.0,0.0,0.49000000000000005,0.3,0.225,0.3,senior,senior_low,0.5,0.4,628.7066666666666,2390.116,0.1125,278.28,homme:divorce/separe_compris entre 4 et 7 ans,homme:divorce/separe_proprietaire,appareils menagers_low,senior_income_low,0.15,0.0,27.572464608817935,11.579005731248118,7,0.6,1,-0.04694743859349521,0.15743290729790027,0.13184913368648102,0
30,compte critique /autres credits existants (pas dans cette banque),voiture (nouveau),5234.0,inferieur a 100,sans emploi,superieur a 35%,homme: marie/veuf,aucun,compris entre 1 et 4 ans,voiture ou autre,28.0,aucun credit,proprietaire,cadres,1 personne,sans telephone,compris entre 0 et 200,2 credits,oui,40.0,13085.0,0.4,0.4,0.0,0.04,7851.0,0.5,0.5,0.0,0.0,0.56,0.3,0.4,0.3,young_adult,young_adult_low,0.5,0.4,366.38,6848.689,0.2,1570.2,homme: marie/veuf_sans emploi,homme: marie/veuf_proprietaire,voiture (nouveau)_medium,young_income_low,0.15,0.0,36.93750185113771,2.0342343989040508,11,0.2,0,0.05425600435859647,-0.0802852817340852,0.18751402752531168,1
