"duree","historique","objet","montant","epargne","anciennete_emploi","taux_endettement","statut","autres_debiteurs","domicile","biens","age","credit_exterieur","logement","emploi","nombre_personnes","telephone","cible","compte","nombre_credit","travailleur_etranger"
6,"compte critique /autres credits existants (pas dans cette banque)","appareils menagers",1169,"compte d'epargne inconnu / non","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","immobilier",67,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","inferieur a 0 ","2 credits","oui"
48,"credits deja rembourses jusqu'a maintenant","appareils menagers",5951,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","immobilier",22,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit avec impaye","compris entre 0 et 200 ","1 credit","oui"
12,"compte critique /autres credits existants (pas dans cette banque)","vacances",2096,"inferieur a 100 ","compris entre 4 et 7 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 4 et 7 ans","immobilier",49,"aucun credit","proprietaire","non qualifie","2 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
42,"credits deja rembourses jusqu'a maintenant","radio / television",7882,"inferieur a 100 ","compris entre 4 et 7 ans","compris entre 20% et 25%","celibataire","garant","superieur a 7 ans","assurance-vie",45,"aucun credit","logement gratuit","employe qualifie / fonctionnaire ","2 personne","sans telephone","credit bien rembourse","inferieur a 0 ","1 credit","oui"
24,"retard dans le paiement dans le passe","voiture (nouveau)",4870,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 25% et 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",53,"aucun credit","logement gratuit","employe qualifie / fonctionnaire ","2 personne","sans telephone","credit avec impaye","inferieur a 0 ","2 credits","oui"
36,"credits deja rembourses jusqu'a maintenant","vacances",9055,"compte d'epargne inconnu / non","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",35,"aucun credit","logement gratuit","non qualifie","2 personne","avec telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
24,"credits deja rembourses jusqu'a maintenant","radio / television",2835,"comprise entre 500 et 1000 ","superieur a 7 ans","compris entre 25% et 35%","celibataire","aucun","superieur a 7 ans","assurance-vie",53,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
36,"credits deja rembourses jusqu'a maintenant","voiture (utilise)",6948,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",35,"aucun credit","locataire","cadres","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
12,"credits deja rembourses jusqu'a maintenant","appareils menagers",NA,"superieur a 1000 ","compris entre 4 et 7 ans","compris entre 20% et 25%","homme:divorce/separe","aucun","superieur a 7 ans","immobilier",61,"aucun credit","proprietaire","non qualifie","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
30,"compte critique /autres credits existants (pas dans cette banque)","voiture (nouveau)",5234,"inferieur a 100 ","sans emploi","superieur a 35%","homme: marie/veuf","aucun","compris entre 1 et 4 ans","voiture ou autre",28,"aucun credit","proprietaire","cadres","1 personne","sans telephone","credit avec impaye","compris entre 0 et 200 ","2 credits","oui"
12,"credits deja rembourses jusqu'a maintenant","voiture (nouveau)",1295,"inferieur a 100 ","inferieur a 1 an","compris entre 25% et 35%","femme:divorcee/separee/mariee","aucun","inferieur a 1 an","voiture ou autre",25,"aucun credit","locataire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit avec impaye","compris entre 0 et 200 ","1 credit","oui"
48,"credits deja rembourses jusqu'a maintenant","business",4308,"inferieur a 100 ","inferieur a 1 an","compris entre 25% et 35%","femme:divorcee/separee/mariee","aucun","superieur a 7 ans","assurance-vie",24,"aucun credit","locataire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit avec impaye","inferieur a 0 ","1 credit","oui"
12,"credits deja rembourses jusqu'a maintenant","appareils menagers",1567,"inferieur a 100 ","compris entre 1 et 4 ans","inferieur a 20%","femme:divorcee/separee/mariee","aucun","inferieur a 1 an","voiture ou autre",22,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
24,"compte critique /autres credits existants (pas dans cette banque)","voiture (nouveau)",1199,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","voiture ou autre",NA,"aucun credit","proprietaire","non qualifie","1 personne","sans telephone","credit avec impaye","inferieur a 0 ","2 credits","oui"
15,"credits deja rembourses jusqu'a maintenant","voiture (nouveau)",1403,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","femme:divorcee/separee/mariee","aucun","superieur a 7 ans","voiture ou autre",28,"aucun credit","locataire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","inferieur a 0 ","1 credit","oui"
24,"credits deja rembourses jusqu'a maintenant","appareils menagers",1282,"comprise entre 100 et 500 ","compris entre 1 et 4 ans","superieur a 35%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","voiture ou autre",32,"aucun credit","proprietaire","non qualifie","1 personne","sans telephone","credit avec impaye","inferieur a 0 ","1 credit","oui"
24,"compte critique /autres credits existants (pas dans cette banque)","appareils menagers",2424,"compte d'epargne inconnu / non","superieur a 7 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","assurance-vie",53,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","2 credits","oui"
30,"aucun credit pris /tous les credits ont ete rembourses","business",8072,"compte d'epargne inconnu / non","inferieur a 1 an","compris entre 20% et 25%","celibataire","aucun","compris entre 4 et 7 ans","voiture ou autre",25,"banque ","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","inferieur a 0 ","3 credits","oui"
24,"credits deja rembourses jusqu'a maintenant","voiture (utilise)",12579,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","femme:divorcee/separee/mariee","aucun","compris entre 1 et 4 ans","inconnu / pas de propriete",44,"aucun credit","logement gratuit","cadres","1 personne","avec telephone","credit avec impaye","compris entre 0 et 200 ","1 credit","oui"
24,"credits deja rembourses jusqu'a maintenant","appareils menagers",3430,"comprise entre 500 et 1000 ","superieur a 7 ans","compris entre 25% et 35%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",31,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","2 personne","avec telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
9,"compte critique /autres credits existants (pas dans cette banque)","voiture (nouveau)",2134,"inferieur a 100 ","compris entre 1 et 4 ans","superieur a 35%","celibataire","aucun","superieur a 7 ans","voiture ou autre",48,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","pas de compte courant","3 credits","oui"
6,"credits deja rembourses jusqu'a maintenant","appareils menagers",2647,"comprise entre 500 et 1000 ","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 4 et 7 ans","immobilier",44,"aucun credit","locataire","employe qualifie / fonctionnaire ","2 personne","sans telephone","credit bien rembourse","inferieur a 0 ","1 credit","oui"
10,"compte critique /autres credits existants (pas dans cette banque)","voiture (nouveau)",2241,"inferieur a 100 ","inferieur a 1 an","inferieur a 20%","celibataire","aucun","compris entre 4 et 7 ans","immobilier",48,"aucun credit","locataire","non qualifie","2 personne","sans telephone","credit bien rembourse","inferieur a 0 ","2 credits","non"
12,"compte critique /autres credits existants (pas dans cette banque)","voiture (utilise)",1804,"comprise entre 100 et 500 ","inferieur a 1 an","compris entre 25% et 35%","celibataire","aucun","superieur a 7 ans","assurance-vie",44,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
10,"compte critique /autres credits existants (pas dans cette banque)","radio / television",2069,"compte d'epargne inconnu / non","compris entre 1 et 4 ans","compris entre 20% et 25%","homme: marie/veuf","aucun","inferieur a 1 an","voiture ou autre",26,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","pas de compte courant","2 credits","non"
6,"credits deja rembourses jusqu'a maintenant","radio / television",1374,"inferieur a 100 ","compris entre 1 et 4 ans","inferieur a 20%","celibataire","aucun","compris entre 1 et 4 ans","immobilier",36,"banque ","proprietaire","non qualifie","1 personne","avec telephone","credit bien rembourse","inferieur a 0 ","1 credit","oui"
6,"aucun credit pris /tous les credits ont ete rembourses","appareils menagers",426,"inferieur a 100 ","superieur a 7 ans","superieur a 35%","homme: marie/veuf","aucun","superieur a 7 ans","voiture ou autre",NA,"aucun credit","proprietaire","non qualifie","1 personne","sans telephone","credit bien rembourse","pas de compte courant","1 credit","oui"
12,"tous les credits de cette banque ont ete rembourses","appareils menagers",409,"superieur a 1000 ","compris entre 1 et 4 ans","compris entre 25% et 35%","femme:divorcee/separee/mariee","aucun","compris entre 4 et 7 ans","immobilier",42,"aucun credit","locataire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","superieur ou egale a 200 ","2 credits","oui"
7,"credits deja rembourses jusqu'a maintenant","appareils menagers",2415,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 25% et 35%","celibataire","garant","compris entre 1 et 4 ans","immobilier",34,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
60,"retard dans le paiement dans le passe","business",6836,"inferieur a 100 ","superieur a 7 ans","compris entre 25% et 35%","celibataire","aucun","superieur a 7 ans","inconnu / pas de propriete",63,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit avec impaye","inferieur a 0 ","2 credits","oui"
18,"credits deja rembourses jusqu'a maintenant","business",1913,"superieur a 1000 ","inferieur a 1 an","compris entre 25% et 35%","homme: marie/veuf","aucun","compris entre 4 et 7 ans","immobilier",36,"banque ","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","1 credit","oui"
24,"credits deja rembourses jusqu'a maintenant","radio / television",4020,"inferieur a 100 ","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",27,"etablissements de credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","sans telephone","credit bien rembourse","inferieur a 0 ","1 credit","oui"
18,"credits deja rembourses jusqu'a maintenant","voiture (nouveau)",5866,"comprise entre 100 et 500 ","compris entre 1 et 4 ans","compris entre 20% et 25%","celibataire","aucun","compris entre 1 et 4 ans","voiture ou autre",30,"aucun credit","proprietaire","employe qualifie / fonctionnaire ","1 personne","avec telephone","credit bien rembourse","compris entre 0 et 200 ","2 credits","oui"
